ADNP,Q9H2P0
SP6,Q3SY56
SP7,Q8TDD2
SP8,Q8IXZ3
SP9,P0CG40
SPDEF,O95238
SPI1,P17947
SPIB,Q01892
SPIC,Q8N5J4
SPZ1,Q9BXG8
SREBF1,P36956
SREBF2,Q12772
SRF,P11831
SRY,Q05066
ST18,O60284
STAT1,P42224
STAT2,P52630
STAT3,P40763
STAT4,Q14765
STAT5A,P42229
STAT5B,P51692
STAT6,P42226
TAL1,P17542
TAL2,Q16559
TBR1,Q16650
TBX1,O43435
TBX10,O75333
TBX15,Q96SF7
TBX18,O95935
TBX19,O60806
TBX2,Q13207
TBX20,Q9UMR3
TBX21,Q9UL17
TBX22,Q9Y458
TBX3,O15119
TBX4,P57082
TBX5,Q99593
TBX6,O95947
TBXT,O15178
TCF12,Q99081
TCF15,Q12870
TCF21,O43680
TCF23,Q7RTU1
TCF24,Q7RTU0
TCF3,P15923
TCF4,P15884
TCF7,P36402
TCF7L1,Q9HCS4
TCF7L2,Q9NQB0
TCFL5,Q9UL49
TEAD1,P28347
TEAD2,Q15562
TEAD3,Q99594
TEAD4,Q15561
TEF,Q10587
TFAP2A,P05549
TFAP2B,Q92481
TFAP2C,Q92754
TFAP2D,Q7Z6R9
TFAP2E,Q6VUC0
TFAP4,Q01664
TFCP2,Q12800
TFCP2L1,Q9NZI6
TFDP1,Q14186
TFDP2,Q14188
TFE3,P19532
TFEB,P19484
TFEC,O14948
TGIF1,Q15583
TGIF2,Q9GZN2
TGIF2LX,Q8IUE1
TGIF2LY,Q8IUE0
THAP1,Q9NVV9
THAP11,Q96EK4
THRA,P10827
THRB,P10828
TLX1,P31314
TLX2,O43763
TLX3,O43711
TP53,P04637
TP63,Q9H3D4
TP73,O15350
TPRX1,Q8N7U7
TRPS1,Q9UHF7
TSHZ1,Q6ZSZ6
TSHZ2,Q9NRE2
TSHZ3,Q63HK5
TWIST1,Q15672
TWIST2,Q8WVJ9
UBP1,Q9NZI7
UNCX,A6NJT0
USF1,P22415
USF2,Q15853
USF3,Q68DE3
VAX1,Q5SQQ9
VAX2,Q9UIW0
VDR,P11473
VENTX,O95231
VEZF1,Q14119
VSX1,Q9NZR4
VSX2,P58304
WIZ,O95785
WT1,P19544
XBP1,P17861
YY1,P25490
YY2,O15391
ZBED1,O96006
ZBED2,Q9BTP6
ZBED3,Q96IU2
ZBED4,O75132
ZBED5,Q49AG3
ZBED6,P86452
ZBTB1,Q9Y2K1
ZBTB10,Q96DT7
ZBTB11,O95625
ZBTB12,Q9Y330
ZBTB14,O43829
ZBTB16,Q05516
ZBTB17,Q13105
ZBTB18,Q99592
ZBTB2,Q8N680
ZBTB20,Q9HC78
ZBTB21,Q9ULJ3
ZBTB22,O15209
ZBTB24,O43167
ZBTB25,P24278
ZBTB26,Q9HCK0
ZBTB3,Q9H5J0
ZBTB32,Q9Y2Y4
ZBTB33,Q86T24
ZBTB34,Q8NCN2
ZBTB37,Q5TC79
ZBTB38,Q8NAP3
ZBTB39,O15060
ZBTB4,Q9P1Z0
ZBTB40,Q9NUA8
ZBTB41,Q5SVQ8
ZBTB42,B2RXF5
ZBTB43,O43298
ZBTB45,Q96K62
ZBTB46,Q86UZ6
ZBTB47,Q9UFB7
ZBTB48,P10074
ZBTB49,Q6ZSB9
ZBTB5,O15062
ZBTB6,Q15916
ZBTB7A,O95365
ZBTB7B,O15156
ZBTB7C,A1YPR0
ZBTB8A,Q96BR9
ZBTB8B,Q8NAP8
ZBTB9,Q96C00
ZEB1,P37275
ZEB2,O60315
ZFAT,Q9P243
ZFHX2,Q9C0A1
ZFHX3,Q15911
ZFHX4,Q86UP3
ZFP1,Q6P2D0
ZFP14,Q9HCL3
ZFP2,Q6ZN57
ZFP28,Q8NHY6
ZFP3,Q96NJ6
ZFP30,Q9Y2G7
ZFP37,Q9Y6Q3
ZFP41,Q8N8Y5
ZFP42,Q96MM3
ZFP57,Q9NU63
ZFP62,Q8NB50
ZFP69,Q49AA0
ZFP69B,Q9UJL9
ZFP82,Q8N141
ZFP90,Q8TF47
ZFP92,A6NM28
ZFX,P17010
ZFY,P08048
ZGLP1,P0C6A0
ZGPAT,Q8N5A5
ZHX1,Q9UKY1
ZHX2,Q9Y6X8
ZHX3,Q9H4I2
ZIC1,Q15915
ZIC2,O95409
ZIC3,O60481
ZIC4,Q8N9L1
ZIC5,Q96T25
ZIK1,Q3SY52
ZIM2,Q9NZV7
ZIM3,Q96PE6
ZKSCAN1,P17029
ZKSCAN2,Q63HK3
ZKSCAN3,Q9BRR0
ZKSCAN4,Q969J2
ZKSCAN5,Q9Y2L8
ZKSCAN7,Q9P0L1
ZKSCAN8,Q15776
ZNF10,P21506
ZNF100,Q8IYN0
ZNF101,Q8IZC7
ZNF107,Q9UII5
ZNF112,Q9UJU3
ZNF114,Q8NC26
ZNF117,Q03924
ZNF12,P17014
ZNF121,P58317
ZNF124,Q15973
ZNF131,P52739
ZNF132,P52740
ZNF133,P52736
ZNF134,P52741
ZNF135,P52742
ZNF136,P52737
ZNF137P,P52743
ZNF138,P52744
ZNF14,P17017
ZNF140,P52738
ZNF141,Q15928
ZNF142,P52746
ZNF143,P52747
ZNF146,Q15072
ZNF148,Q9UQR1
ZNF154,Q13106
ZNF155,Q12901
ZNF157,P51786
ZNF16,P17020
ZNF160,Q9HCG1
ZNF165,P49910
ZNF169,Q14929
ZNF17,P17021
ZNF174,Q15697
ZNF175,Q9Y473
ZNF177,Q13360
ZNF18,P17022
ZNF180,Q9UJW8
ZNF181,Q2M3W8
ZNF182,P17025
ZNF184,Q99676
ZNF189,O75820
ZNF19,P17023
ZNF195,O14628
ZNF197,O14709
ZNF2,Q9BSG1
ZNF20,P17024
ZNF202,O95125
ZNF205,O95201
ZNF208,O43345
ZNF211,Q13398
ZNF212,Q9UDV6
ZNF213,O14771
ZNF214,Q9UL59
ZNF215,Q9UL58
ZNF217,O75362
ZNF219,Q9P2Y4
ZNF22,P17026
ZNF221,Q9UK13
ZNF222,Q9UK12
ZNF223,Q9UK11
ZNF224,Q9NZL3
ZNF225,Q9UK10
ZNF226,Q9NYT6
ZNF227,Q86WZ6
ZNF229,Q9UJW7
ZNF23,P17027
ZNF230,Q9UIE0
ZNF232,Q9UNY5
ZNF233,A6NK53
ZNF234,Q14588
ZNF235,Q14590
ZNF236,Q9UL36
ZNF239,Q16600
ZNF24,P17028
ZNF248,Q8NDW4
ZNF25,P17030
ZNF250,P15622
ZNF251,Q9BRH9
ZNF253,O75346
ZNF254,O75437
ZNF256,Q9Y2P7
ZNF257,Q9Y2Q1
ZNF26,P17031
ZNF260,Q3ZCT1
ZNF263,O14978
ZNF264,O43296
ZNF266,Q14584
ZNF267,Q14586
ZNF268,Q14587
ZNF273,Q14593
ZNF274,Q96GC6
ZNF275,Q9NSD4
ZNF28,P17035
ZNF280A,P59817
ZNF280B,Q86YH2
ZNF280C,Q8ND82
ZNF280D,Q6N043
ZNF281,Q9Y2X9
ZNF282,Q9UDV7
ZNF283,Q8N7M2
ZNF284,Q2VY69
ZNF285,Q96NJ3
ZNF286A,Q9HBT8
ZNF286B,P0CG31
ZNF287,Q9HBT7
ZNF292,O60281
ZNF296,Q8WUU4
ZNF3,P17036
ZNF30,P17039
ZNF300,Q96RE9
ZNF302,Q9NR11
ZNF304,Q9HCX3
ZNF311,Q5JNZ3
ZNF316,A6NFI3
ZNF317,Q96PQ6
ZNF319,Q9P2F9
ZNF32,P17041
ZNF320,A2RRD8
ZNF322,Q6U7Q0
ZNF324,O75467
ZNF324B,Q6AW86
ZNF329,Q86UD4
ZNF331,Q9NQX6
ZNF333,Q96JL9
ZNF334,Q9HCZ1
ZNF337,Q9Y3M9
ZNF33A,Q06730
ZNF33B,Q06732
ZNF34,Q8IZ26
ZNF341,Q9BYN7
ZNF343,Q6P1L6
ZNF345,Q14585
ZNF347,Q96SE7
ZNF35,P13682
ZNF350,Q9GZX5
ZNF354A,O60765
ZNF354B,Q96LW1
ZNF354C,Q86Y25
ZNF355P,Q9NSJ1
ZNF358,Q9NW07
ZNF362,Q5T0B9
ZNF367,Q7RTV3
ZNF37A,P17032
ZNF382,Q96SR6
ZNF383,Q8NA42
ZNF384,Q8TF68
ZNF391,Q9UJN7
ZNF394,Q53GI3
ZNF395,Q9H8N7
ZNF396,Q96N95
ZNF397,Q8NF99
ZNF398,Q8TD17
ZNF404,Q494X3
ZNF408,Q9H9D4
ZNF41,P51814
ZNF414,Q96IQ9
ZNF415,Q09FC8
ZNF416,Q9BWM5
ZNF417,Q8TAU3
ZNF418,Q8TF45
ZNF419,Q96HQ0
ZNF420,Q8TAQ5
ZNF423,Q2M1K9
ZNF425,Q6IV72
ZNF426,Q9BUY5
ZNF429,Q86V71
ZNF43,P17038
ZNF430,Q9H8G1
ZNF431,Q8TF32
ZNF432,O94892
ZNF433,Q8N7K0
ZNF436,Q9C0F3
ZNF438,Q7Z4V0
ZNF439,Q8NDP4
ZNF44,P15621
ZNF440,Q8IYI8
ZNF441,Q8N8Z8
ZNF442,Q9H7R0
ZNF443,Q9Y2A4
ZNF444,Q8N0Y2
ZNF445,P59923
ZNF446,Q9NWS9
ZNF449,Q6P9G9
ZNF45,Q02386
ZNF454,Q8N9F8
ZNF460,Q14592
ZNF461,Q8TAF7
ZNF467,Q7Z7K2
ZNF468,Q5VIY5
ZNF469,Q96JG9
ZNF470,Q6ECI4
ZNF471,Q9BX82
ZNF473,Q8WTR7
ZNF479,Q96JC4
ZNF48,Q96MX3
ZNF480,Q8WV37
ZNF483,Q8TF39
ZNF484,Q5JVG2
ZNF485,Q8NCK3
ZNF486,Q96H40
ZNF487,B1APH4
ZNF490,Q9ULM2
ZNF491,Q8N8L2
ZNF492,Q9P255
ZNF493,Q6ZR52
ZNF496,Q96IT1
ZNF497,Q6ZNH5
ZNF500,O60304
ZNF501,Q96CX3
ZNF502,Q8TBZ5
ZNF506,Q5JVG8
ZNF510,Q9Y2H8
ZNF511,Q8NB15
ZNF512,Q96ME7
ZNF512B,Q96KM6
ZNF514,Q96K75
ZNF516,Q92618
ZNF517,Q6ZMY9
ZNF518A,Q6AHZ1
ZNF518B,Q9C0D4
ZNF519,Q8TB69
ZNF521,Q96K83
ZNF524,Q96C55
ZNF525,Q8N782
ZNF526,Q8TF50
ZNF527,Q8NB42
ZNF528,Q3MIS6
ZNF529,Q6P280
ZNF530,Q6P9A1
ZNF532,Q9HCE3
ZNF534,Q76KX8
ZNF536,O15090
ZNF540,Q8NDQ6
ZNF542P,Q5EBM4
ZNF543,Q08ER8
ZNF544,Q6NX49
ZNF546,Q86UE3
ZNF547,Q8IVP9
ZNF548,Q8NEK5
ZNF549,Q6P9A3
ZNF550,Q7Z398
ZNF551,Q7Z340
ZNF552,Q9H707
ZNF554,Q86TJ5
ZNF555,Q8NEP9
ZNF556,Q9HAH1
ZNF557,Q8N988
ZNF558,Q96NG5
ZNF559,Q9BR84
ZNF56,Q15929
ZNF560,Q96MR9
ZNF561,Q8N587
ZNF562,Q6V9R5
ZNF563,Q8TA94
ZNF564,Q8TBZ8
ZNF565,Q8N9K5
ZNF566,Q969W8
ZNF567,Q8N184
ZNF568,Q3ZCX4
ZNF569,Q5MCW4
ZNF57,Q68EA5
ZNF570,Q96NI8
ZNF571,Q7Z3V5
ZNF572,Q7Z3I7
ZNF573,Q86YE8
ZNF574,Q6ZN55
ZNF575,Q86XF7
ZNF576,Q9H609
ZNF577,Q9BSK1
ZNF578,Q96N58
ZNF579,Q8NAF0
ZNF580,Q9UK33
ZNF581,Q9P0T4
ZNF582,Q96NG8
ZNF583,Q96ND8
ZNF584,Q8IVC4
ZNF585A,Q6P3V2
ZNF585B,Q52M93
ZNF586,Q9NXT0
ZNF587,Q96SQ5
ZNF587B,E7ETH6
ZNF589,Q86UQ0
ZNF592,Q92610
ZNF594,Q96JF6
ZNF595,Q8IYB9
ZNF596,Q8TC21
ZNF597,Q96LX8
ZNF599,Q96NL3
ZNF600,Q6ZNG1
ZNF605,Q86T29
ZNF606,Q8WXB4
ZNF607,Q96SK3
ZNF610,Q8N9Z0
ZNF611,Q8N823
ZNF613,Q6PF04
ZNF614,Q8N883
ZNF615,Q8N8J6
ZNF616,Q08AN1
ZNF618,Q5T7W0
ZNF619,Q8N2I2
ZNF620,Q6ZNG0
ZNF621,Q6ZSS3
ZNF623,O75123
ZNF624,Q9P2J8
ZNF625,Q96I27
ZNF626,Q68DY1
ZNF627,Q7L945
ZNF628,Q5EBL2
ZNF629,Q9UEG4
ZNF630,Q2M218
ZNF639,Q9UID6
ZNF641,Q96N77
ZNF644,Q9H582
ZNF646,O15015
ZNF648,Q5T619
ZNF649,Q9BS31
ZNF652,Q9Y2D9
ZNF654,Q8IZM8
ZNF655,Q8N720
ZNF658,Q5TYW1
ZNF658B,Q4V348
ZNF66,Q6ZN08
ZNF660,Q6AZW8
ZNF662,Q6ZS27
ZNF664,Q8N3J9
ZNF665,Q9H7R5
ZNF667,Q5HYK9
ZNF668,Q96K58
ZNF669,Q96BR6
ZNF670,Q9BS34
ZNF671,Q8TAW3
ZNF672,Q499Z4
ZNF674,Q2M3X9
ZNF675,Q8TD23
ZNF676,Q8N7Q3
ZNF677,Q86XU0
ZNF678,Q5SXM1
ZNF679,Q8IYX0
ZNF680,Q8NEM1
ZNF681,Q96N22
ZNF682,O95780
ZNF683,Q8IZ20
ZNF684,Q5T5D7
ZNF687,Q8N1G0
ZNF688,P0C7X2
ZNF689,Q96CS4
ZNF69,Q9UC07
ZNF691,Q5VV52
ZNF692,Q9BU19
ZNF695,Q8IW36
ZNF696,Q9H7X3
ZNF697,Q5TEC3
ZNF699,Q32M78
ZNF7,P17097
ZNF70,Q9UC06
ZNF700,Q9H0M5
ZNF701,Q9NV72
ZNF702P,Q9H963
ZNF704,Q6ZNC4
ZNF705A,Q6ZN79
ZNF705B,P0CI00
ZNF705D,P0CH99
ZNF705E,A8MWA4
ZNF705F,A8MVS1
ZNF705G,A8MUZ8
ZNF707,Q96C28
ZNF708,P17019
ZNF709,Q8N972
ZNF71,Q9NQZ8
ZNF710,Q8N1W2
ZNF711,Q9Y462
ZNF713,Q8N859
ZNF714,Q96N38
ZNF716,A6NP11
ZNF717,Q9BY31
ZNF718,Q3SXZ3
ZNF721,Q8TF20
ZNF723,P0DPD5
ZNF724,A8MTY0
ZNF726,A6NNF4
ZNF726P1,Q15940
ZNF727,A8MUV8
ZNF728,P0DKX0
ZNF729,A6NN14
ZNF730,Q6ZMV8
ZNF732,B4DXR9
ZNF735,P0CB33
ZNF736,B4DX44
ZNF737,O75373
ZNF74,Q16587
ZNF740,Q8NDX6
ZNF746,Q6NUN9
ZNF749,O43361
ZNF750,Q32MQ0
ZNF75A,Q96N20
ZNF75CP,Q92670
ZNF75D,P51815
ZNF76,P36508
ZNF761,Q86XN6
ZNF763,Q0D2J5
ZNF764,Q96H86
ZNF765,Q7L2R6
ZNF766,Q5HY98
ZNF768,Q9H5H4
ZNF77,Q15935
ZNF770,Q6IQ21
ZNF771,Q7L3S4
ZNF772,Q68DY9
ZNF773,Q6PK81
ZNF774,Q6NX45
ZNF775,Q96BV0
ZNF776,Q68DI1
ZNF777,Q9ULD5
ZNF778,Q96MU6
ZNF780A,O75290
ZNF780B,Q9Y6R6
ZNF781,Q8N8C0
ZNF782,Q6ZMW2
ZNF783,Q6ZMS7
ZNF784,Q8NCA9
ZNF785,A8K8V0
ZNF786,Q8N393
ZNF787,Q6DD87
ZNF789,Q5FWF6
ZNF79,Q15937
ZNF790,Q6PG37
ZNF791,Q3KP31
ZNF792,Q3KQV3
ZNF793,Q6ZN11
ZNF799,Q96GE5
ZNF8,P17098
ZNF80,P51504
ZNF800,Q2TB10
ZNF805,Q5CZA5
ZNF806,P0C7X5
ZNF808,Q8N4W9
ZNF81,P51508
ZNF813,Q6ZN06
ZNF814,B7Z6K7
ZNF816,Q0VGE8
ZNF818P,Q6ZRF7
ZNF821,O75541
ZNF823,P16415
ZNF826P,Q6ZT77
ZNF829,Q3KNS6
ZNF83,P51522
ZNF833P,Q6ZTB9
ZNF835,Q9Y2P0
ZNF836,Q6ZNA1
ZNF837,Q96EG3
ZNF84,P51523
ZNF840P,A6NDX5
ZNF841,Q6ZN19
ZNF844,Q08AG5
ZNF845,Q96IR2
ZNF846,Q147U1
ZNF85,Q03923
ZNF850,A8MQ14
ZNF852,Q6ZMS4
ZNF853,P0CG23
ZNF860,A6NHJ4
ZNF861P,O60384
ZNF862,O60290
ZNF865,P0CJ78
ZNF875,P10072
ZNF876P,Q49A33
ZNF878,C9JN71
ZNF879,B4DU55
ZNF880,Q6PDB4
ZNF883,P0CG24
ZNF888,P0CJ79
ZNF891,A8MT65
ZNF90,Q03938
ZNF91,Q05481
ZNF92,Q03936
ZNF93,P35789
ZNF98,A6NK75
ZNF99,A8MXY4
ZSCAN1,Q8NBB4
ZSCAN10,Q96SZ4
ZSCAN12,O43309
ZSCAN16,Q9H4T2
ZSCAN18,Q8TBC5
ZSCAN2,Q7Z7L9
ZSCAN20,P17040
ZSCAN21,Q9Y5A6
ZSCAN22,P10073
ZSCAN23,Q3MJ62
ZSCAN25,Q6NSZ9
ZSCAN26,Q16670
ZSCAN29,Q8IWY8
ZSCAN30,Q86W11
ZSCAN31,Q96LW9
ZSCAN32,Q9NX65
ZSCAN4,Q8NAM6
ZSCAN5A,Q9BUG6
ZSCAN5B,A6NJL1
ZSCAN5C,A6NGD5
ZSCAN5DP,P0CG00
ZSCAN9,O15535
